"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: March 24, 2022.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
Connecticut,CT,09,1998,4.24,361.53,93.53,87.26,
Connecticut,CT,09,1999,4.88,379.17,98.09,91.52,
Connecticut,CT,09,2000,9.27,414.30,107.18,100.00,
Connecticut,CT,09,2001,7.74,446.38,115.47,107.74,
Connecticut,CT,09,2002,8.44,484.06,125.22,116.84,
Connecticut,CT,09,2003,6.12,513.68,132.88,123.99,
Connecticut,CT,09,2004,11.05,570.43,147.56,137.68,
Connecticut,CT,09,2005,12.37,641.00,165.82,154.72,
Connecticut,CT,09,2006,5.80,678.21,175.45,163.70,
Connecticut,CT,09,2007,0.09,678.85,175.61,163.85,
Connecticut,CT,09,2008,-3.60,654.38,169.28,157.95,
Connecticut,CT,09,2009,-7.15,607.59,157.18,146.65,
Connecticut,CT,09,2010,-4.04,583.05,150.83,140.73,
Connecticut,CT,09,2011,-3.59,562.14,145.42,135.68,
Connecticut,CT,09,2012,-2.96,545.48,141.11,131.66,
Connecticut,CT,09,2013,-0.76,541.35,140.04,130.66,
Connecticut,CT,09,2014,0.02,541.44,140.07,130.69,
Connecticut,CT,09,2015,1.34,548.70,141.94,132.44,
Connecticut,CT,09,2016,0.12,549.37,142.12,132.60,
Connecticut,CT,09,2017,1.14,555.66,143.74,134.12,
Connecticut,CT,09,2018,1.61,564.60,146.06,136.28,
Connecticut,CT,09,2019,2.15,576.74,149.20,139.21,
Connecticut,CT,09,2020,2.92,593.57,153.55,143.27,
Connecticut,CT,09,2021,11.80,663.63,171.67,160.18,
Delaware,DE,10,1975,.,100.00,35.64,30.56,
Delaware,DE,10,1976,4.42,104.42,37.21,31.91,
Delaware,DE,10,1977,-2.99,101.30,36.10,30.95,
Delaware,DE,10,1978,7.20,108.59,38.70,33.18,
Delaware,DE,10,1979,6.21,115.33,41.10,35.24,
Delaware,DE,10,1980,15.93,133.70,47.65,40.85,
Delaware,DE,10,1981,8.49,145.05,51.69,44.32,
Delaware,DE,10,1982,2.45,148.60,52.96,45.40,
Delaware,DE,10,1983,4.64,155.49,55.41,47.51,
Delaware,DE,10,1984,9.11,169.66,60.46,51.84,
Delaware,DE,10,1985,7.34,182.12,64.90,55.65,
Delaware,DE,10,1986,9.75,199.87,71.23,61.07,
Delaware,DE,10,1987,11.12,222.10,79.15,67.86,
Delaware,DE,10,1988,12.35,249.54,88.93,76.25,
Delaware,DE,10,1989,9.60,273.50,97.47,83.57,
Delaware,DE,10,1990,2.60,280.61,100.00,85.74,
Delaware,DE,10,1991,1.32,284.32,101.32,86.87,
Delaware,DE,10,1992,0.43,285.54,101.76,87.25,
Delaware,DE,10,1993,-0.33,284.60,101.42,86.96,
Delaware,DE,10,1994,-1.20,281.19,100.21,85.92,
Delaware,DE,10,1995,0.04,281.29,100.24,85.95,
Delaware,DE,10,1996,1.70,286.08,101.95,87.41,
Delaware,DE,10,1997,1.34,289.92,103.32,88.59,
Delaware,DE,10,1998,2.62,297.52,106.03,90.91,
Delaware,DE,10,1999,3.48,307.89,109.72,94.08,
Delaware,DE,10,2000,6.30,327.27,116.63,100.00,
Delaware,DE,10,2001,6.94,349.98,124.72,106.94,
Delaware,DE,10,2002,6.95,374.30,133.39,114.37,
Delaware,DE,10,2003,6.49,398.60,142.05,121.79,
Delaware,DE,10,2004,12.86,449.85,160.31,137.45,
Delaware,DE,10,2005,15.81,520.97,185.66,159.18,
Delaware,DE,10,2006,8.82,566.90,202.03,173.22,
Delaware,DE,10,2007,2.67,582.01,207.41,177.84,
Delaware,DE,10,2008,-2.96,564.77,201.27,172.57,
Delaware,DE,10,2009,-6.60,527.50,187.98,161.18,
Delaware,DE,10,2010,-4.72,502.61,179.11,153.57,
Delaware,DE,10,2011,-5.52,474.84,169.22,145.09,
Delaware,DE,10,2012,-2.93,460.93,164.26,140.84,
Delaware,DE,10,2013,0.81,464.67,165.59,141.98,
Delaware,DE,10,2014,2.37,475.69,169.52,145.35,
Delaware,DE,10,2015,2.39,487.05,173.57,148.82,
Delaware,DE,10,2016,1.93,496.44,176.91,151.69,
Delaware,DE,10,2017,2.05,506.62,180.54,154.80,
Delaware,DE,10,2018,3.95,526.62,187.67,160.91,
Delaware,DE,10,2019,3.25,543.72,193.76,166.14,
Delaware,DE,10,2020,3.28,561.55,200.12,171.58,
Delaware,DE,10,2021,10.63,621.23,221.39,189.82,
District of Columbia,DC,11,1975,.,100.00,29.18,22.39,
District of Columbia,DC,11,1976,10.56,110.56,32.26,24.76,
District of Columbia,DC,11,1977,12.75,124.66,36.37,27.91,
District of Columbia,DC,11,1978,15.52,144.02,42.02,32.25,
District of Columbia,DC,11,1979,17.99,169.92,49.58,38.05,
District of Columbia,DC,11,1980,7.10,181.98,53.10,40.75,
District of Columbia,DC,11,1981,-1.76,178.77,52.16,40.03,
District of Columbia,DC,11,1982,-5.81,168.39,49.13,37.70,
District of Columbia,DC,11,1983,9.12,183.74,53.61,41.14,
District of Columbia,DC,11,1984,6.88,196.39,57.30,43.97,
District of Columbia,DC,11,1985,5.40,206.99,60.40,46.35,
District of Columbia,DC,11,1986,8.18,223.94,65.34,50.14,
District of Columbia,DC,11,1987,11.18,248.98,72.65,55.75,
District of Columbia,DC,11,1988,18.23,294.38,85.89,65.92,
District of Columbia,DC,11,1989,12.28,330.52,96.44,74.01,
District of Columbia,DC,11,1990,3.70,342.73,100.00,76.74,
District of Columbia,DC,11,1991,0.32,343.84,100.32,76.99,
District of Columbia,DC,11,1992,2.14,351.18,102.47,78.63,
District of Columbia,DC,11,1993,-1.49,345.94,100.94,77.46,
District of Columbia,DC,11,1994,-0.69,343.55,100.24,76.92,
District of Columbia,DC,11,1995,-1.35,338.91,98.88,75.89,
District of Columbia,DC,11,1996,2.22,346.44,101.08,77.57,
District of Columbia,DC,11,1997,0.08,346.72,101.16,77.64,
District of Columbia,DC,11,1998,4.73,363.10,105.94,81.30,
District of Columbia,DC,11,1999,7.43,390.10,113.82,87.35,
District of Columbia,DC,11,2000,14.48,446.60,130.31,100.00,
District of Columbia,DC,11,2001,14.11,509.61,148.69,114.11,
District of Columbia,DC,11,2002,12.79,574.80,167.71,128.71,
District of Columbia,DC,11,2003,9.47,629.26,183.60,140.90,
District of Columbia,DC,11,2004,16.45,732.76,213.80,164.07,
District of Columbia,DC,11,2005,22.78,899.69,262.51,201.45,
District of Columbia,DC,11,2006,11.55,1003.63,292.83,224.73,
District of Columbia,DC,11,2007,2.79,1031.61,301.00,230.99,
District of Columbia,DC,11,2008,-4.94,980.70,286.14,219.59,
District of Columbia,DC,11,2009,-5.22,929.55,271.22,208.14,
District of Columbia,DC,11,2010,0.10,930.45,271.48,208.34,
District of Columbia,DC,11,2011,0.97,939.46,274.11,210.36,
District of Columbia,DC,11,2012,3.07,968.32,282.53,216.82,
District of Columbia,DC,11,2013,6.78,1033.96,301.68,231.52,
District of Columbia,DC,11,2014,8.95,1126.55,328.70,252.25,
District of Columbia,DC,11,2015,5.93,1193.40,348.20,267.22,
District of Columbia,DC,11,2016,6.54,1271.42,370.97,284.69,
District of Columbia,DC,11,2017,5.01,1335.11,389.55,298.95,
District of Columbia,DC,11,2018,4.88,1400.25,408.56,313.53,
District of Columbia,DC,11,2019,3.76,1452.92,423.92,325.33,
District of Columbia,DC,11,2020,2.07,1482.97,432.69,332.06,
District of Columbia,DC,11,2021,6.79,1583.64,462.07,354.60,
Florida,FL,12,1975,.,100.00,48.13,35.81,
Florida,FL,12,1976,-1.88,98.12,47.22,35.14,
Florida,FL,12,1977,4.35,102.39,49.28,36.67,
Florida,FL,12,1978,10.72,113.36,54.56,40.60,
Florida,FL,12,1979,12.99,128.08,61.64,45.87,
Florida,FL,12,1980,11.87,143.29,68.96,51.31,
Florida,FL,12,1981,5.56,151.26,72.80,54.17,
Florida,FL,12,1982,-0.09,151.12,72.73,54.12,
Florida,FL,12,1983,13.16,171.01,82.30,61.24,
Florida,FL,12,1984,2.44,175.18,84.31,62.73,
Florida,FL,12,1985,1.18,177.24,85.30,63.47,
Florida,FL,12,1986,3.67,183.74,88.43,65.80,
Florida,FL,12,1987,2.49,188.31,90.63,67.44,
Florida,FL,12,1988,4.30,196.41,94.53,70.34,
Florida,FL,12,1989,4.07,204.42,98.38,73.20,
Florida,FL,12,1990,1.65,207.78,100.00,74.41,
Florida,FL,12,1991,1.48,210.85,101.48,75.51,
Florida,FL,12,1992,2.24,215.57,103.75,77.20,
Florida,FL,12,1993,1.85,219.56,105.67,78.63,
Florida,FL,12,1994,0.95,221.64,106.67,79.37,
Florida,FL,12,1995,2.69,227.60,109.54,81.51,
Florida,FL,12,1996,2.51,233.33,112.30,83.56,
Florida,FL,12,1997,2.94,240.18,115.59,86.01,
Florida,FL,12,1998,4.12,250.06,120.35,89.55,
Florida,FL,12,1999,3.66,259.22,124.76,92.83,
Florida,FL,12,2000,7.72,279.24,134.39,100.00,
Florida,FL,12,2001,9.52,305.84,147.19,109.52,
Florida,FL,12,2002,9.05,333.52,160.52,119.44,
Florida,FL,12,2003,8.23,360.96,173.72,129.26,
Florida,FL,12,2004,15.51,416.94,200.67,149.31,
Florida,FL,12,2005,24.83,520.47,250.49,186.39,
Florida,FL,12,2006,15.70,602.18,289.82,215.65,
Florida,FL,12,2007,-2.17,589.14,283.54,210.98,
Florida,FL,12,2008,-15.20,499.59,240.44,178.91,
Florida,FL,12,2009,-17.69,411.22,197.91,147.27,
Florida,FL,12,2010,-9.69,371.38,178.74,133.00,
Florida,FL,12,2011,-6.88,345.84,166.45,123.85,
Florida,FL,12,2012,-0.96,342.53,164.85,122.67,
Florida,FL,12,2013,7.41,367.90,177.06,131.75,
Florida,FL,12,2014,10.46,406.39,195.59,145.53,
Florida,FL,12,2015,8.77,442.02,212.74,158.30,
Florida,FL,12,2016,9.13,482.38,232.16,172.75,
Florida,FL,12,2017,8.36,522.69,251.56,187.18,
Florida,FL,12,2018,7.87,563.83,271.36,201.92,
Florida,FL,12,2019,5.45,594.59,286.16,212.93,
Florida,FL,12,2020,5.00,624.34,300.48,223.59,
Florida,FL,12,2021,15.19,719.18,346.13,257.55,
Georgia,GA,13,1975,.,100.00,46.52,32.83,
Georgia,GA,13,1976,3.69,103.69,48.24,34.04,
Georgia,GA,13,1977,3.24,107.05,49.80,35.14,
Georgia,GA,13,1978,7.59,115.17,53.58,37.81,
Georgia,GA,13,1979,10.00,126.70,58.94,41.59,
Georgia,GA,13,1980,10.33,139.79,65.03,45.89,
Georgia,GA,13,1981,8.60,151.81,70.63,49.83,
Georgia,GA,13,1982,5.56,160.25,74.56,52.60,
Georgia,GA,13,1983,2.86,164.84,76.69,54.11,
Georgia,GA,13,1984,6.21,175.08,81.46,57.47,
Georgia,GA,13,1985,4.95,183.74,85.49,60.32,
Georgia,GA,13,1986,5.19,193.27,89.92,63.44,
Georgia,GA,13,1987,4.40,201.78,93.88,66.24,
Georgia,GA,13,1988,4.10,210.05,97.73,68.95,
Georgia,GA,13,1989,2.06,214.39,99.74,70.37,
Georgia,GA,13,1990,0.26,214.94,100.00,70.56,
Georgia,GA,13,1991,0.49,216.00,100.49,70.90,
Georgia,GA,13,1992,1.69,219.64,102.19,72.10,
Georgia,GA,13,1993,1.81,223.61,104.04,73.40,
Georgia,GA,13,1994,2.25,228.65,106.38,75.06,
Georgia,GA,13,1995,3.86,237.49,110.49,77.96,
Georgia,GA,13,1996,3.92,246.79,114.82,81.01,
Georgia,GA,13,1997,4.37,257.58,119.84,84.55,
Georgia,GA,13,1998,4.79,269.93,125.59,88.61,
Georgia,GA,13,1999,5.45,284.64,132.43,93.43,
Georgia,GA,13,2000,7.03,304.64,141.73,100.00,
Georgia,GA,13,2001,6.02,322.97,150.26,106.02,
Georgia,GA,13,2002,3.62,334.67,155.70,109.86,
Georgia,GA,13,2003,2.08,341.65,158.95,112.15,
Georgia,GA,13,2004,4.02,355.37,165.33,116.65,
Georgia,GA,13,2005,5.29,374.17,174.08,122.82,
Georgia,GA,13,2006,4.52,391.06,181.94,128.37,
Georgia,GA,13,2007,2.42,400.53,186.35,131.48,
Georgia,GA,13,2008,-2.04,392.37,182.55,128.80,
Georgia,GA,13,2009,-4.98,372.82,173.45,122.38,
Georgia,GA,13,2010,-8.27,341.98,159.10,112.26,
Georgia,GA,13,2011,-7.39,316.70,147.34,103.96,
Georgia,GA,13,2012,-5.00,300.86,139.97,98.76,
Georgia,GA,13,2013,3.74,312.10,145.20,102.45,
Georgia,GA,13,2014,7.64,335.95,156.30,110.28,
Georgia,GA,13,2015,5.69,355.06,165.19,116.55,
Georgia,GA,13,2016,5.98,376.29,175.07,123.52,
Georgia,GA,13,2017,5.97,398.76,185.52,130.89,
Georgia,GA,13,2018,7.34,428.01,199.13,140.50,
Georgia,GA,13,2019,5.51,451.59,210.10,148.24,
Georgia,GA,13,2020,3.68,468.21,217.83,153.69,
Georgia,GA,13,2021,12.45,526.50,244.95,172.83,
Hawaii,HI,15,1975,.,100.00,28.56,29.01,
Hawaii,HI,15,1976,-12.86,87.14,24.89,25.28,
Hawaii,HI,15,1977,6.99,93.23,26.63,27.04,
Hawaii,HI,15,1978,11.78,104.21,29.76,30.23,
Hawaii,HI,15,1979,25.88,131.19,37.47,38.05,
Hawaii,HI,15,1980,21.13,158.91,45.38,46.09,
Hawaii,HI,15,1981,-3.67,153.08,43.72,44.40,
Hawaii,HI,15,1982,3.03,157.71,45.04,45.75,
Hawaii,HI,15,1983,7.12,168.95,48.25,49.01,
Hawaii,HI,15,1984,3.42,174.74,49.90,50.68,
Hawaii,HI,15,1985,3.72,181.23,51.76,52.57,
Hawaii,HI,15,1986,3.90,188.30,53.78,54.62,
Hawaii,HI,15,1987,6.73,200.97,57.40,58.29,
Hawaii,HI,15,1988,16.55,234.23,66.90,67.94,
Hawaii,HI,15,1989,23.66,289.66,82.73,84.02,
Hawaii,HI,15,1990,20.88,350.14,100.00,101.56,
Hawaii,HI,15,1991,9.78,384.38,109.78,111.49,
Hawaii,HI,15,1992,0.81,387.48,110.66,112.39,
Hawaii,HI,15,1993,-0.06,387.24,110.60,112.32,
Hawaii,HI,15,1994,-0.22,386.38,110.35,112.07,
Hawaii,HI,15,1995,-1.81,379.37,108.35,110.04,
Hawaii,HI,15,1996,-3.85,364.79,104.18,105.81,
Hawaii,HI,15,1997,-7.73,336.58,96.13,97.63,
Hawaii,HI,15,1998,-0.29,335.59,95.84,97.34,
Hawaii,HI,15,1999,-0.41,334.22,95.45,96.94,
Hawaii,HI,15,2000,3.15,344.76,98.46,100.00,
Hawaii,HI,15,2001,7.36,370.12,105.71,107.36,
Hawaii,HI,15,2002,6.70,394.91,112.79,114.55,
Hawaii,HI,15,2003,9.08,430.77,123.03,124.95,
Hawaii,HI,15,2004,19.72,515.70,147.28,149.58,
Hawaii,HI,15,2005,25.36,646.51,184.64,187.52,
Hawaii,HI,15,2006,14.32,739.11,211.09,214.38,
Hawaii,HI,15,2007,1.99,753.85,215.30,218.66,
Hawaii,HI,15,2008,-3.21,729.64,208.38,211.64,
Hawaii,HI,15,2009,-10.04,656.36,187.45,190.38,
Hawaii,HI,15,2010,-4.11,629.36,179.74,182.55,
Hawaii,HI,15,2011,-1.78,618.18,176.55,179.31,
Hawaii,HI,15,2012,0.83,623.32,178.02,180.80,
Hawaii,HI,15,2013,4.53,651.59,186.09,189.00,
Hawaii,HI,15,2014,7.73,701.99,200.49,203.62,
Hawaii,HI,15,2015,5.48,740.45,211.47,214.77,
Hawaii,HI,15,2016,6.56,789.00,225.34,228.85,
Hawaii,HI,15,2017,3.55,816.97,233.33,236.97,
Hawaii,HI,15,2018,4.48,853.59,243.78,247.59,
Hawaii,HI,15,2019,3.13,880.31,251.42,255.34,
Hawaii,HI,15,2020,-0.17,878.83,250.99,254.91,
Hawaii,HI,15,2021,8.22,951.04,271.62,275.86,
Idaho,ID,16,1975,.,100.00,50.36,32.72,
Idaho,ID,16,1976,7.18,107.18,53.98,35.07,
Idaho,ID,16,1977,11.73,119.76,60.31,39.19,
Idaho,ID,16,1978,16.27,139.25,70.12,45.56,
Idaho,ID,16,1979,9.28,152.17,76.63,49.79,
Idaho,ID,16,1980,5.14,159.99,80.57,52.35,
Idaho,ID,16,1981,2.35,163.76,82.47,53.58,
Idaho,ID,16,1982,1.34,165.96,83.58,54.30,
Idaho,ID,16,1983,2.78,170.58,85.90,55.81,
Idaho,ID,16,1984,2.31,174.52,87.89,57.11,
Idaho,ID,16,1985,1.87,177.79,89.53,58.17,
Idaho,ID,16,1986,0.94,179.45,90.37,58.72,
Idaho,ID,16,1987,-0.80,178.01,89.65,58.25,
Idaho,ID,16,1988,-0.48,177.16,89.22,57.97,
Idaho,ID,16,1989,4.69,185.47,93.40,60.69,
Idaho,ID,16,1990,7.07,198.57,100.00,64.97,
Idaho,ID,16,1991,5.41,209.32,105.41,68.49,
Idaho,ID,16,1992,5.52,220.88,111.23,72.27,
Idaho,ID,16,1993,8.56,239.79,120.76,78.46,
Idaho,ID,16,1994,6.08,254.36,128.10,83.23,
Idaho,ID,16,1995,6.67,271.34,136.64,88.78,
Idaho,ID,16,1996,2.51,278.15,140.08,91.01,
Idaho,ID,16,1997,2.76,285.84,143.95,93.53,
Idaho,ID,16,1998,2.63,293.37,147.74,95.99,
Idaho,ID,16,1999,1.94,299.05,150.60,97.85,
Idaho,ID,16,2000,2.20,305.62,153.91,100.00,
Idaho,ID,16,2001,4.44,319.20,160.75,104.44,
Idaho,ID,16,2002,2.62,327.56,164.96,107.18,
Idaho,ID,16,2003,2.51,335.77,169.09,109.87,
Idaho,ID,16,2004,6.49,357.58,180.07,117.00,
Idaho,ID,16,2005,15.08,411.50,207.23,134.64,
Idaho,ID,16,2006,16.21,478.22,240.83,156.47,
Idaho,ID,16,2007,5.60,504.98,254.31,165.23,
Idaho,ID,16,2008,-2.00,494.88,249.22,161.93,
Idaho,ID,16,2009,-7.35,458.52,230.91,150.03,
Idaho,ID,16,2010,-10.54,410.20,206.58,134.22,
Idaho,ID,16,2011,-8.35,375.95,189.33,123.01,
Idaho,ID,16,2012,0.18,376.64,189.67,123.24,
Idaho,ID,16,2013,5.09,395.81,199.33,129.51,
Idaho,ID,16,2014,6.80,422.74,212.89,138.32,
Idaho,ID,16,2015,5.90,447.67,225.44,146.48,
Idaho,ID,16,2016,7.09,479.40,241.42,156.86,
Idaho,ID,16,2017,9.38,524.36,264.07,171.57,
Idaho,ID,16,2018,11.68,585.59,294.90,191.61,
Idaho,ID,16,2019,10.65,647.96,326.31,212.02,
Idaho,ID,16,2020,8.38,702.27,353.66,229.79,
Idaho,ID,16,2021,20.33,845.07,425.57,276.51,
Illinois,IL,17,1975,.,100.00,39.58,28.02,
Illinois,IL,17,1976,9.86,109.86,43.48,30.78,
Illinois,IL,17,1977,16.54,128.03,50.67,35.88,
Illinois,IL,17,1978,17.22,150.08,59.40,42.05,
Illinois,IL,17,1979,3.25,154.96,61.33,43.42,
Illinois,IL,17,1980,0.52,155.76,61.65,43.65,
Illinois,IL,17,1981,3.73,161.57,63.95,45.27,
Illinois,IL,17,1982,-9.57,146.11,57.83,40.94,
Illinois,IL,17,1983,11.02,162.21,64.20,45.45,
Illinois,IL,17,1984,5.32,170.85,67.62,47.87,
Illinois,IL,17,1985,4.12,177.89,70.40,49.85,
Illinois,IL,17,1986,5.96,188.49,74.60,52.82,
Illinois,IL,17,1987,7.72,203.05,80.36,56.90,
Illinois,IL,17,1988,10.33,224.03,88.66,62.78,
Illinois,IL,17,1989,7.75,241.40,95.54,67.64,
Illinois,IL,17,1990,4.67,252.67,100.00,70.80,
Illinois,IL,17,1991,3.24,260.85,103.24,73.09,
Illinois,IL,17,1992,2.52,267.42,105.84,74.93,
Illinois,IL,17,1993,2.73,274.72,108.73,76.98,
Illinois,IL,17,1994,3.59,284.59,112.63,79.74,
Illinois,IL,17,1995,4.58,297.63,117.79,83.40,
Illinois,IL,17,1996,2.94,306.37,121.25,85.85,
Illinois,IL,17,1997,2.99,315.52,124.88,88.41,
Illinois,IL,17,1998,2.18,322.39,127.60,90.34,
Illinois,IL,17,1999,3.56,333.87,132.14,93.55,
Illinois,IL,17,2000,6.89,356.87,141.24,100.00,
Illinois,IL,17,2001,5.48,376.43,148.98,105.48,
Illinois,IL,17,2002,4.90,394.86,156.27,110.64,
Illinois,IL,17,2003,3.49,408.64,161.73,114.51,
Illinois,IL,17,2004,7.50,439.31,173.87,123.10,
Illinois,IL,17,2005,8.99,478.78,189.49,134.16,
Illinois,IL,17,2006,5.61,505.65,200.12,141.69,
Illinois,IL,17,2007,1.30,512.21,202.72,143.53,
Illinois,IL,17,2008,-3.02,496.72,196.59,139.19,
Illinois,IL,17,2009,-8.24,455.79,180.39,127.72,
Illinois,IL,17,2010,-6.31,427.01,169.00,119.65,
Illinois,IL,17,2011,-5.21,404.76,160.19,113.42,
Illinois,IL,17,2012,-2.77,393.54,155.75,110.28,
Illinois,IL,17,2013,0.21,394.38,156.09,110.51,
Illinois,IL,17,2014,3.75,409.19,161.95,114.66,
Illinois,IL,17,2015,2.88,420.97,166.61,117.96,
Illinois,IL,17,2016,2.82,432.84,171.31,121.29,
Illinois,IL,17,2017,2.60,444.10,175.76,124.44,
Illinois,IL,17,2018,2.33,454.43,179.85,127.34,
Illinois,IL,17,2019,2.52,465.87,184.38,130.54,
Illinois,IL,17,2020,0.90,470.05,186.04,131.71,
Illinois,IL,17,2021,7.67,506.11,200.30,141.82,
Indiana,IN,18,1975,.,100.00,44.84,31.09,
Indiana,IN,18,1976,5.10,105.10,47.13,32.67,
Indiana,IN,18,1977,11.96,117.68,52.77,36.58,
Indiana,IN,18,1978,16.16,136.69,61.30,42.50,
Indiana,IN,18,1979,13.19,154.72,69.38,48.10,
Indiana,IN,18,1980,5.25,162.85,73.03,50.63,
Indiana,IN,18,1981,3.83,169.09,75.83,52.57,
Indiana,IN,18,1982,-4.97,160.68,72.05,49.95,
Indiana,IN,18,1983,6.34,170.87,76.63,53.12,
Indiana,IN,18,1984,1.77,173.89,77.98,54.06,
Indiana,IN,18,1985,3.30,179.62,80.55,55.84,
Indiana,IN,18,1986,4.58,187.86,84.24,58.40,
Indiana,IN,18,1987,4.17,195.70,87.76,60.84,
Indiana,IN,18,1988,5.61,206.69,92.69,64.26,
Indiana,IN,18,1989,4.62,216.24,96.97,67.23,
Indiana,IN,18,1990,3.12,223.00,100.00,69.33,
Indiana,IN,18,1991,3.53,230.88,103.53,71.78,
Indiana,IN,18,1992,2.93,237.64,106.56,73.88,
Indiana,IN,18,1993,3.20,245.24,109.98,76.24,
Indiana,IN,18,1994,3.90,254.80,114.26,79.21,
Indiana,IN,18,1995,5.41,268.59,120.45,83.50,
Indiana,IN,18,1996,4.21,279.91,125.52,87.02,
Indiana,IN,18,1997,4.07,291.31,130.63,90.56,
Indiana,IN,18,1998,3.42,301.27,135.10,93.66,
Indiana,IN,18,1999,2.94,310.12,139.07,96.41,
Indiana,IN,18,2000,3.72,321.66,144.24,100.00,
Indiana,IN,18,2001,4.20,335.16,150.30,104.20,
Indiana,IN,18,2002,1.95,341.69,153.23,106.23,
Indiana,IN,18,2003,1.34,346.29,155.29,107.66,
Indiana,IN,18,2004,2.35,354.42,158.94,110.19,
Indiana,IN,18,2005,3.45,366.65,164.42,113.99,
Indiana,IN,18,2006,1.80,373.23,167.37,116.03,
Indiana,IN,18,2007,1.11,377.39,169.24,117.33,
Indiana,IN,18,2008,-0.66,374.92,168.13,116.56,
Indiana,IN,18,2009,-2.19,366.71,164.45,114.01,
Indiana,IN,18,2010,-2.45,357.72,160.42,111.21,
Indiana,IN,18,2011,-1.84,351.16,157.47,109.17,
Indiana,IN,18,2012,-0.58,349.11,156.55,108.53,
Indiana,IN,18,2013,1.00,352.61,158.12,109.62,
Indiana,IN,18,2014,2.39,361.02,161.90,112.24,
Indiana,IN,18,2015,3.23,372.67,167.12,115.86,
Indiana,IN,18,2016,3.49,385.67,172.95,119.90,
Indiana,IN,18,2017,4.49,402.98,180.71,125.28,
Indiana,IN,18,2018,6.51,429.20,192.47,133.43,
Indiana,IN,18,2019,5.24,451.70,202.56,140.43,
Indiana,IN,18,2020,3.78,468.79,210.22,145.74,
Indiana,IN,18,2021,11.67,523.49,234.75,162.75,
Iowa,IA,19,1975,.,100.00,53.08,34.07,
Iowa,IA,19,1976,13.10,113.10,60.03,38.53,
Iowa,IA,19,1977,12.00,126.67,67.23,43.16,
Iowa,IA,19,1978,14.17,144.62,76.76,49.28,
Iowa,IA,19,1979,9.85,158.86,84.32,54.13,
Iowa,IA,19,1980,0.86,160.22,85.04,54.59,
Iowa,IA,19,1981,-2.90,155.58,82.57,53.01,
Iowa,IA,19,1982,-3.77,149.71,79.46,51.01,
Iowa,IA,19,1983,6.76,159.84,84.83,54.46,
Iowa,IA,19,1984,1.14,161.66,85.80,55.08,
Iowa,IA,19,1985,1.33,163.82,86.95,55.82,
Iowa,IA,19,1986,1.05,165.53,87.86,56.40,
Iowa,IA,19,1987,0.74,166.75,88.51,56.82,
Iowa,IA,19,1988,2.13,170.31,90.39,58.03,
Iowa,IA,19,1989,5.56,179.78,95.42,61.26,
Iowa,IA,19,1990,4.80,188.41,100.00,64.20,
Iowa,IA,19,1991,4.17,196.28,104.17,66.88,
Iowa,IA,19,1992,3.21,202.57,107.51,69.02,
Iowa,IA,19,1993,4.91,212.51,112.79,72.41,
Iowa,IA,19,1994,5.77,224.78,119.30,76.59,
Iowa,IA,19,1995,6.57,239.54,127.14,81.62,
Iowa,IA,19,1996,3.85,248.76,132.03,84.76,
Iowa,IA,19,1997,3.94,258.57,137.24,88.10,
Iowa,IA,19,1998,4.23,269.52,143.05,91.83,
Iowa,IA,19,1999,3.88,279.97,148.59,95.39,
Iowa,IA,19,2000,4.83,293.49,155.77,100.00,
Iowa,IA,19,2001,4.64,307.11,163.00,104.64,
Iowa,IA,19,2002,2.79,315.67,167.54,107.56,
Iowa,IA,19,2003,2.30,322.92,171.39,110.03,
Iowa,IA,19,2004,4.23,336.57,178.63,114.68,
Iowa,IA,19,2005,4.74,352.53,187.10,120.11,
Iowa,IA,19,2006,2.77,362.30,192.29,123.44,
Iowa,IA,19,2007,1.79,368.78,195.73,125.65,
Iowa,IA,19,2008,0.42,370.32,196.55,126.18,
